"코드","코드명","결산월","회계연도","분기","자산총계(천원)","부채총계(천원)","매출액(천원)...8","매출원가(천원)","판매비와관리비(천원)","당기순이익(천원)","매출액(천원)...12","무위험수익률(%)","시장위험프리미엄(%)","상장상태","코드_join","회계연도_join","ESG등급","부채비율","부채비율_Win","매출액(천원)...21","Size","ROA","Loss_Dummy","is_esg_rated","ATO","ROA_Z","ATO_Z","Female_Ratio","매출액(천원)...30","매출액(천원)"
"A000660","SK하이닉스",12,2011,"결산",17238148000,9362877000,10395811000,8721257000,1569335000,-55971000,10395811000,3.46,11.33,"정상","000660",2011,NA,0.543148660749403,0.543148660749403,10395811000,23.5703906718756,-0.00324692652598179,1,0,0.603070062978923,0.00389173587094064,-0.0056124865620066,0,10395811000,10395811000
"A000660","SK하이닉스",12,2012,"결산",18648693000,8909251000,10162210000,8550989000,1838570000,-158795000,10162210000,2.97,10.4,"정상","000660",2012,"A+",0.477741308734076,0.477741308734076,10162210000,23.6490419002052,-0.00851507395183137,1,1,0.544928805466421,0.00384999853653052,-0.00605928970941721,1,10162210000,10162210000
"A000660","SK하이닉스",12,2013,"결산",20797298000,7730439000,14165102000,8864587000,1920730000,2872857000,14165102000,3.23,10.13,"정상","000660",2013,"A",0.371704006933978,0.371704006933978,14165102000,23.7580889114174,0.138136069406709,0,1,0.681102997129723,0.00501185436880035,-0.00501282012767183,1,14165102000,14165102000
"A000660","SK하이닉스",12,2014,"결산",26883278000,8846975000,17125566000,9461725000,2554375000,4195169000,17125566000,2.28,9.28,"정상","000660",2014,"B+",0.329088402091441,0.329088402091441,17125566000,24.0147702946081,0.156051244941186,0,1,0.637034144422418,0.00515378883111805,-0.00535147984943936,1,17125566000,17125566000
"A000660","SK하이닉스",12,2015,"결산",29677906000,8290203000,18797998000,10515353000,2946545000,4323595000,18797998000,1.81,9.76,"정상","000660",2015,"B+",0.279339216183244,0.279339216183244,18797998000,24.1136687002297,0.145683964360558,0,1,0.633400415784052,0.00507165319186203,-0.00537940427801074,1,18797998000,18797998000
"A000660","SK하이닉스",12,2016,"결산",32216026000,8192496000,17197975000,10787139000,3134090000,2960483000,17197975000,1.8,9.89,"정상","000660",2016,"B+",0.254298776639925,0.254298776639925,17197975000,24.1957298675787,0.091894729660325,0,1,0.533832912849027,0.00464550352389111,-0.00614455927455717,1,17197975000,17197975000
"A000660","SK하이닉스",12,2017,"결산",45418464000,11597545000,30109434000,12701843000,3686265000,10642219000,30109434000,2.34,10.88,"정상","000660",2017,"A",0.255348683742365,0.255348683742365,30109434000,24.5391845553726,0.234314815225808,0,1,0.662933779530721,0.00577383845028218,-0.00515244668472517,1,30109434000,30109434000
"A000660","SK하이닉스",12,2018,"결산",63658335000,16806004000,40445066000,15180838000,4420478000,15539984000,40445066000,1.88,10.66,"정상","000660",2018,"A",0.26400319769595,0.26400319769595,40445066000,24.8767961039029,0.244115464220043,0,1,0.635345960587879,0.00585148490385358,-0.0053644531816814,1,40445066000,40445066000
"A000660","SK하이닉스",12,2019,"결산",64789494000,16846299000,26990733000,18825275000,5452740000,2016391000,26990733000,1.48,10.05,"정상","000660",2019,"A",0.260015906282583,0.260015906282583,26990733000,24.894409297546,0.0311221908910108,0,1,0.416591199184238,0.00416402805091547,-0.00704553680607989,1,26990733000,26990733000
"A000660","SK하이닉스",12,2020,"결산",71173853000,19264756000,31900418000,21089789000,5798005000,4758914000,31900418000,1.34,11.56,"정상","000660",2020,"A",0.270671815392656,0.270671815392656,31900418000,24.9883913547857,0.0668632341711218,0,1,0.448204174080614,0.00444718942719524,-0.00680259784522794,1,31900418000,31900418000
