"모형","계수","표준오차","t값","p값","해석"
"동시 모형 (부채비율_t → ROA_t)",-0.185,0.008,-23.18,0,"5% 유의 — 동시성 혼입 포함"
"시차 모형 (부채비율_{t-1} → ROA_t)",-0.1329,0.0083,-16.02,0,"5% 유의 — 역인과 고리 약화"
