"변수","Size","ROA","부채비율_Win","ATO","Female_Ratio"
"Size",1,0.119,0.28,0.042,0.6
"ROA",0.119,1,-0.182,0.175,0.049
"부채비율_Win",0.28,-0.182,1,0.212,0.103
"ATO",0.042,0.175,0.212,1,0.021
"Female_Ratio",0.6,0.049,0.103,0.021,1
