"지표","계산식","값","의미"
"정확도(Accuracy)","(TP+TN)/전체",0.864,"전체 중 맞춘 비율 — 불균형 데이터에서는 함정"
"민감도(Sensitivity)","TP/(TP+FN)",0.181,"실제 적자 기업 중 적자로 잡아낸 비율 — 리스크 관리의 핵심"
"특이도(Specificity)","TN/(TN+FP)",0.98,"실제 흑자 기업 중 흑자로 맞춘 비율 — 오경보 억제"
"정밀도(Precision)","TP/(TP+FP)",0.606,"적자 예측 중 실제 적자 비율 — 경보의 신뢰성"
