"항목","값"
"미평가 (is_esg_rated = 0)","n = 5,953, 평균 = 19.326, SD = 1.091"
"ESG 평가 (is_esg_rated = 1)","n = 4,047, 평균 = 21.368, SD = 1.634"
"t값","-69.654"
"자유도 (df)","6,467"
"p값","< 0.001"
"95% 신뢰구간 (평균 차이)","[-2.099, -1.985]"
"Cohen's d","1.527"
"효과크기 해석","큼"
