"코드","코드명","회계연도","ROA","ROA_Win","Size","부채비율","부채비율_Win","ESG평가","Loss_Dummy","ATO","Female_Ratio"
"A005930","삼성전자",2010,0.120237367027575,0.120237367027575,25.6232581246102,0.334649440164546,0.334649440164546,0,0,1.15147646328422,0
"A005930","삼성전자",2011,0.0882474865877518,0.0882474865877518,25.7707552897097,0.34559851969065303,0.34559851969065303,0,0,1.0602097378204,0
"A005930","삼성전자",2012,0.131689834025297,0.131689834025297,25.9221582044267,0.329103922830072,0.329103922830072,1,0,1.11063052581916,1
"A005930","삼성전자",2013,0.142355536319516,0.142355536319516,26.089592341946,0.299236261187655,0.299236261187655,1,0,1.06828283438472,1
"A005930","삼성전자",2014,0.101527895497288,0.101527895497288,26.1631824049056,0.270523260967772,0.270523260967772,1,0,0.894902091309842,1
"A005930","삼성전자",2015,0.078702542317771,0.078702542317771,26.2129451104071,0.260631930145737,0.260631930145737,1,0,0.828531996311943,1
"A005930","삼성전자",2016,0.0866831337762885,0.0866831337762885,26.2922754782369,0.263989585036558,0.263989585036558,1,0,0.769971452276921,1
"A005930","삼성전자",2017,0.139805981128416,0.139805981128416,26.4328716231668,0.289179975522291,0.289179975522291,1,0,0.793947693949692,1
"A005930","삼성전자",2018,0.130673082081018,0.130673082081018,26.5503192065635,0.269934025631113,0.269934025631113,1,0,0.718332728444718,1
"A005930","삼성전자",2019,0.0616592571996834,0.0616592571996834,26.5884994126773,0.254376367340243,0.254376367340243,1,0,0.653499949542566,1
"A005930","삼성전자",2020,0.0698184511490266,0.0698184511490266,26.6587834308082,0.270433745762742,0.270433745762742,1,0,0.626083092448715,1
"A005930","삼성전자",2021,0.0935430633283312,0.0935430633283312,26.7791622385681,0.285314557699457,0.285314557699457,1,0,0.655393652557663,1
"A005930","삼성전자",2022,0.12411024850611,0.12411024850611,26.8290061809796,0.208897822348501,0.208897822348501,1,0,0.673984930087686,1
"A005930","삼성전자",2023,0.0339699426623007,0.0339699426623007,26.8455524409936,0.202296348470797,0.202296348470797,1,0,0.567958099606414,1
"A005930","삼성전자",2024,0.0669566800155235,0.0669566800155235,26.9665234855327,0.218334115960473,0.218334115960473,1,0,0.584746786218997,1
"A000660","SK하이닉스",2010,0.151071319443745,0.151071319443745,23.590269508903,0.53540853119078,0.53540853119078,0,0,0.688039939830249,0
"A000660","SK하이닉스",2011,-0.00324692652598179,-0.00324692652598179,23.5703906718756,0.543148660749403,0.543148660749403,0,1,0.603070062978923,0
"A000660","SK하이닉스",2012,-0.00851507395183137,-0.00851507395183137,23.6490419002052,0.477741308734076,0.477741308734076,1,1,0.544928805466421,1
"A000660","SK하이닉스",2013,0.138136069406709,0.138136069406709,23.7580889114174,0.371704006933978,0.371704006933978,1,0,0.681102997129723,1
